c,h,l,n,o,t,v,vw
234.9493,234.9493,234.92,16,234.92,2025-02-01T00:00:00Z,380,234.93934
235.0695,235.0695,234.9204,35,234.9204,2025-02-01T00:01:00Z,3894,235.05898
234.922,234.922,234.922,20,234.922,2025-02-01T00:02:00Z,184,234.922
234.9201,234.998,234.9201,20,234.998,2025-02-01T00:03:00Z,946,234.947742
234.9323,234.9323,234.9323,18,234.9323,2025-02-01T00:04:00Z,255,234.9323
234.92,234.92,234.92,26,234.92,2025-02-01T00:06:00Z,407,234.92
234.96,234.9883,234.9235,15,234.9235,2025-02-01T00:08:00Z,1150,234.956273
234.96,234.96,234.96,25,234.96,2025-02-01T00:09:00Z,403,234.96
234.96,234.96,234.9502,14,234.9502,2025-02-01T00:10:00Z,555,234.955598
234.99,234.99,234.99,18,234.99,2025-02-01T00:11:00Z,617,234.99
234.92,234.92,234.92,39,234.92,2025-02-01T00:12:00Z,475,234.92
234.87,234.9,234.87,24,234.9,2025-02-01T00:14:00Z,329,234.882245
234.8678,234.8678,234.8678,15,234.8678,2025-02-01T00:15:00Z,243,234.8678
234.87,234.8965,234.87,27,234.8702,2025-02-01T00:16:00Z,952,234.878024
234.85,234.87,234.85,28,234.87,2025-02-01T00:17:00Z,1119,234.865569
234.87,234.87,234.87,30,234.87,2025-02-01T00:20:00Z,238,234.87
234.86,234.86,234.86,11,234.86,2025-02-01T00:21:00Z,383,234.86
234.83,234.85,234.83,25,234.85,2025-02-01T00:22:00Z,585,234.845204
234.8,234.83,234.8,48,234.83,2025-02-01T00:23:00Z,1006,234.811278
234.81,234.85,234.81,27,234.85,2025-02-01T00:25:00Z,612,234.830305
234.79,234.79,234.7743,25,234.7743,2025-02-01T00:27:00Z,759,234.78372
234.75,234.77,234.75,42,234.77,2025-02-01T00:28:00Z,2155,234.76723
234.724,234.8,234.724,36,234.75,2025-02-01T00:29:00Z,2663,234.794502
234.78,234.78,234.78,21,234.78,2025-02-01T00:30:00Z,591,234.78
234.65,234.65,234.65,44,234.65,2025-02-01T00:31:00Z,875,234.65
234.6387,234.6387,234.6387,20,234.6387,2025-02-01T00:32:00Z,300,234.6387
234.6271,234.6271,234.6271,20,234.6271,2025-02-01T00:33:00Z,648,234.6271
234.642,234.642,234.642,24,234.642,2025-02-01T00:35:00Z,730,234.642
234.7,234.7,234.64,34,234.64,2025-02-01T00:36:00Z,1071,234.66658
234.6558,234.6558,234.6558,22,234.6558,2025-02-01T00:37:00Z,304,234.6558
234.6501,234.6505,234.6501,53,234.6505,2025-02-01T00:39:00Z,578,234.650229
234.65,234.6501,234.65,31,234.6501,2025-02-01T00:40:00Z,617,234.65005
234.54,234.62,234.54,56,234.62,2025-02-01T00:41:00Z,2353,234.579734
234.6,234.6,234.5999,22,234.5999,2025-02-01T00:42:00Z,1099,234.59995
234.45,234.54,234.45,65,234.54,2025-02-01T00:43:00Z,1483,234.492402
234.2512,234.44,234.2512,59,234.44,2025-02-01T00:44:00Z,1587,234.303459
234.25,234.2514,234.25,28,234.2514,2025-02-01T00:45:00Z,1307,234.250673
234.25,234.27,234.25,49,234.2525,2025-02-01T00:46:00Z,2884,234.255502
234.24,234.3,234.101,43,234.3,2025-02-01T00:47:00Z,4730,234.146047
234.3,234.3,234.2,30,234.2,2025-02-01T00:48:00Z,4418,234.240268
234.27,234.27,234.1237,35,234.26,2025-02-01T00:49:00Z,3383,234.164263
234.25,234.25,234.25,40,234.25,2025-02-01T00:50:00Z,671,234.25
234.2003,234.3,234.2003,27,234.25,2025-02-01T00:51:00Z,1263,234.239089
234.2012,234.25,234.2012,35,234.25,2025-02-01T00:52:00Z,1795,234.239325
234.15,234.2,234.15,44,234.2,2025-02-01T00:53:00Z,871,234.185802
234.24,234.24,234.24,31,234.24,2025-02-01T00:54:00Z,574,234.24
234.1994,234.1994,234.16,33,234.16,2025-02-01T00:55:00Z,963,234.182709
234.09,234.15,234.09,80,234.15,2025-02-01T00:56:00Z,2892,234.116658
233.99,234.05,233.9899,126,234.05,2025-02-01T00:57:00Z,6581,233.999317
234.09,234.09,233.98,71,233.98,2025-02-01T00:58:00Z,5654,234.007483
233.92,234.05,233.92,65,234.05,2025-02-01T00:59:00Z,2712,234.008451
231.05,233.57,230,454,232.79,2025-02-03T09:00:00Z,14948,231.5257
231.25,231.25,231.01,307,231.01,2025-02-03T09:01:00Z,7608,231.203664
231.69,231.69,231.46,256,231.46,2025-02-03T09:02:00Z,7476,231.536158
231.62,231.69,231.35,225,231.43,2025-02-03T09:03:00Z,5269,231.599265
231.68,231.68,231.68,121,231.68,2025-02-03T09:04:00Z,1081,231.68
231.6,231.6,231.6,118,231.6,2025-02-03T09:05:00Z,3281,231.6
231.45,231.69,231.35,129,231.57,2025-02-03T09:06:00Z,4145,231.60348
231.35,231.4,231.31,65,231.4,2025-02-03T09:08:00Z,1288,231.346764
231.44,231.49,231.3,98,231.3,2025-02-03T09:09:00Z,2488,231.403645
231.37,231.45,231.37,81,231.45,2025-02-03T09:10:00Z,1679,231.425369
231.34,231.34,231.34,89,231.34,2025-02-03T09:11:00Z,1850,231.34
231.4,231.4,231.3,93,231.31,2025-02-03T09:12:00Z,2343,231.32817
231.54,231.54,231.49,73,231.49,2025-02-03T09:13:00Z,1859,231.503608
231.57,231.6,231.57,69,231.6,2025-02-03T09:15:00Z,1525,231.58708
231.53,231.53,231.49,39,231.49,2025-02-03T09:16:00Z,614,231.51
231.5,231.5,231.5,43,231.5,2025-02-03T09:17:00Z,709,231.5
231.48,231.5,231.42,41,231.49,2025-02-03T09:18:00Z,1972,231.453556
231.39,231.42,231.37,74,231.42,2025-02-03T09:19:00Z,3814,231.402894
231.3,231.31,231.3,147,231.3,2025-02-03T09:20:00Z,5214,231.300278
231.3,231.34,231.21,120,231.3,2025-02-03T09:21:00Z,5795,231.29391
231.25,231.25,231.2,74,231.21,2025-02-03T09:22:00Z,2121,231.222
231.29,231.3,231.22,56,231.3,2025-02-03T09:23:00Z,1414,231.265249
231.44,231.44,231.4,90,231.4,2025-02-03T09:25:00Z,1285,231.412346
231.45,231.49,231.4,39,231.45,2025-02-03T09:26:00Z,1212,231.452222
231.3,231.3,231.3,26,231.3,2025-02-03T09:27:00Z,383,231.3
231.35,231.35,231.35,59,231.35,2025-02-03T09:28:00Z,1016,231.35
