"c","h","l","n","o","t","v","vw"
211.84,211.89,211.7,168,211.89,"2024-07-01T08:00:00Z",2488,211.801805
211.68,211.68,211.68,44,211.68,"2024-07-01T08:01:00Z",800,211.68
211.83,211.83,211.78,37,211.78,"2024-07-01T08:02:00Z",1587,211.793333
211.79,211.88,211.79,51,211.83,"2024-07-01T08:03:00Z",4499,211.80494
211.71,211.71,211.71,68,211.71,"2024-07-01T08:04:00Z",1677,211.71
211.59,211.7,211.59,22,211.7,"2024-07-01T08:07:00Z",834,211.631373
211.73,211.73,211.73,22,211.73,"2024-07-01T08:09:00Z",754,211.73
211.71,211.71,211.71,15,211.71,"2024-07-01T08:11:00Z",493,211.71
211.7,211.7,211.7,2,211.7,"2024-07-01T08:15:00Z",399,211.7
211.79,211.79,211.79,28,211.79,"2024-07-01T08:19:00Z",744,211.79
211.75,211.75,211.75,6,211.75,"2024-07-01T08:22:00Z",248,211.75
211.8,211.8,211.8,9,211.8,"2024-07-01T08:29:00Z",286,211.8
211.81,211.81,211.81,12,211.81,"2024-07-01T08:34:00Z",483,211.81
211.75,211.82,211.75,36,211.82,"2024-07-01T08:35:00Z",1108,211.788251
211.7,211.7,211.7,30,211.7,"2024-07-01T08:36:00Z",1654,211.7
211.7,211.71,211.7,31,211.71,"2024-07-01T08:37:00Z",2232,211.701277
211.48,211.76,211.48,122,211.76,"2024-07-01T08:39:00Z",3003,211.568
211.35,211.35,211.35,43,211.35,"2024-07-01T08:40:00Z",1913,211.35
211.25,211.25,211.25,32,211.25,"2024-07-01T08:41:00Z",1219,211.25
211.08,211.08,211.08,62,211.08,"2024-07-01T08:42:00Z",3164,211.08
211.3,211.3,211.3,12,211.3,"2024-07-01T08:43:00Z",436,211.3
211.3,211.3,211.3,16,211.3,"2024-07-01T08:44:00Z",663,211.3
211.19,211.3,211.19,43,211.3,"2024-07-01T08:45:00Z",2935,211.263941
211.4,211.4,211.4,5,211.4,"2024-07-01T08:46:00Z",386,211.4
211.4,211.4,211.31,9,211.31,"2024-07-01T08:47:00Z",374,211.366038
211.28,211.28,211.28,40,211.28,"2024-07-01T08:49:00Z",1667,211.28
211.2,211.2,211.2,12,211.2,"2024-07-01T08:51:00Z",785,211.2
211.39,211.39,211.39,18,211.39,"2024-07-01T08:52:00Z",755,211.39
211.24,211.24,211.24,75,211.24,"2024-07-01T08:54:00Z",2885,211.24
211.14,211.23,211.14,54,211.23,"2024-07-01T08:55:00Z",3855,211.182811
211.11,211.15,211.04,159,211.15,"2024-07-01T08:57:00Z",7549,211.094345
211.09,211.13,211.09,33,211.13,"2024-07-01T08:59:00Z",1938,211.124264
211.01,211.09,211.01,101,211.09,"2024-07-01T09:00:00Z",8791,211.049781
211,211.09,211,17,211.09,"2024-07-01T09:01:00Z",1266,211.077772
210.98,211,210.98,47,211,"2024-07-01T09:03:00Z",1180,210.99708
210.8,210.8,210.8,42,210.8,"2024-07-01T09:07:00Z",770,210.8
210.63,210.68,210.63,39,210.68,"2024-07-01T09:10:00Z",836,210.647846
210.5,210.62,210.5,344,210.62,"2024-07-01T09:11:00Z",1693,210.532877
210.51,210.51,210.51,24,210.51,"2024-07-01T09:12:00Z",325,210.51
210.5,210.5,210.5,38,210.5,"2024-07-01T09:13:00Z",1029,210.5
210.56,210.56,210.56,31,210.56,"2024-07-01T09:15:00Z",905,210.56
210.74,210.74,210.71,662,210.71,"2024-07-01T09:16:00Z",3783,210.724879
210.99,210.99,210.99,23,210.99,"2024-07-01T09:18:00Z",556,210.99
210.99,210.99,210.99,17,210.99,"2024-07-01T09:19:00Z",516,210.99
210.87,210.9,210.87,39,210.9,"2024-07-01T09:27:00Z",926,210.891429
210.81,210.81,210.81,27,210.81,"2024-07-01T09:28:00Z",1451,210.81
210.81,210.81,210.8,44,210.81,"2024-07-01T09:29:00Z",1953,210.80689
210.63,210.71,210.63,51,210.71,"2024-07-01T09:30:00Z",2523,210.648847
210.82,210.82,210.82,5,210.82,"2024-07-01T09:35:00Z",507,210.82
210.99,210.99,210.95,20,210.95,"2024-07-01T09:36:00Z",2042,210.981636
211.07,211.07,211.07,12,211.07,"2024-07-01T09:38:00Z",225,211.07
211.39,211.39,211.39,52,211.39,"2024-07-01T09:43:00Z",1720,211.39
210.99,211.02,210.99,48,211.02,"2024-07-01T09:47:00Z",1939,211.003804
210.99,211,210.99,49,211,"2024-07-01T09:52:00Z",1417,210.996667
211.19,211.19,211.19,32,211.19,"2024-07-01T10:00:00Z",1535,211.19
211.27,211.27,211.27,20,211.27,"2024-07-01T10:04:00Z",1426,211.27
211.34,211.34,211.34,21,211.34,"2024-07-01T10:06:00Z",401,211.34
211.4,211.4,211.4,5,211.4,"2024-07-01T10:07:00Z",133,211.4
211.5,211.5,211.4,41,211.4,"2024-07-01T10:09:00Z",1186,211.452413
211.51,211.51,211.51,11,211.51,"2024-07-01T10:10:00Z",167,211.51
211.4,211.4,211.4,9,211.4,"2024-07-01T10:17:00Z",320,211.4
211.3,211.3,211.3,21,211.3,"2024-07-01T10:24:00Z",616,211.3
211.3,211.3,211.3,7,211.3,"2024-07-01T10:31:00Z",270,211.3
211.3,211.3,211.3,4,211.3,"2024-07-01T10:35:00Z",137,211.3
211.3,211.3,211.3,42,211.3,"2024-07-01T10:42:00Z",826,211.3
211.3,211.37,211.3,13,211.37,"2024-07-01T10:47:00Z",850,211.320774
211.25,211.25,211.25,18,211.25,"2024-07-01T10:55:00Z",557,211.25
211.2,211.2,211.2,10,211.2,"2024-07-01T10:57:00Z",479,211.2
211.15,211.15,211.15,32,211.15,"2024-07-01T10:59:00Z",910,211.15
211.14,211.14,211.14,84,211.14,"2024-07-01T11:00:00Z",1929,211.14
211.3,211.3,211.3,12,211.3,"2024-07-01T11:01:00Z",469,211.3
211.35,211.35,211.33,29,211.33,"2024-07-01T11:02:00Z",1154,211.337833
211.27,211.27,211.27,23,211.27,"2024-07-01T11:04:00Z",1058,211.27
211.32,211.34,211.32,12,211.34,"2024-07-01T11:07:00Z",977,211.33681
211.26,211.32,211.26,65,211.32,"2024-07-01T11:08:00Z",4192,211.304775
211.25,211.25,211.25,23,211.25,"2024-07-01T11:10:00Z",1062,211.25
211.28,211.28,211.28,18,211.28,"2024-07-01T11:11:00Z",702,211.28
211.31,211.31,211.31,17,211.31,"2024-07-01T11:13:00Z",590,211.31
211.32,211.32,211.32,32,211.32,"2024-07-01T11:14:00Z",2539,211.32
211.35,211.35,211.35,30,211.35,"2024-07-01T11:16:00Z",869,211.35
211.38,211.38,211.36,67,211.36,"2024-07-01T11:17:00Z",2561,211.373548
211.45,211.45,211.45,34,211.45,"2024-07-01T11:18:00Z",1333,211.45
211.39,211.39,211.39,20,211.39,"2024-07-01T11:22:00Z",794,211.39
211.42,211.42,211.42,22,211.42,"2024-07-01T11:26:00Z",1094,211.42
211.45,211.45,211.45,38,211.45,"2024-07-01T11:27:00Z",1668,211.45
211.5,211.5,211.48,42,211.48,"2024-07-01T11:28:00Z",2754,211.486104
211.5,211.5,211.5,39,211.5,"2024-07-01T11:29:00Z",3255,211.5
211.36,211.5,211.36,73,211.5,"2024-07-01T11:30:00Z",4274,211.479983
211.6,211.6,211.54,64,211.54,"2024-07-01T11:39:00Z",3691,211.552857
211.62,211.62,211.62,58,211.62,"2024-07-01T11:40:00Z",5566,211.62
211.62,211.65,211.62,41,211.65,"2024-07-01T11:42:00Z",2423,211.621767
211.57,211.57,211.57,26,211.57,"2024-07-01T11:43:00Z",1121,211.57
211.64,211.64,211.64,29,211.64,"2024-07-01T11:44:00Z",1030,211.64
211.64,211.64,211.64,14,211.64,"2024-07-01T11:45:00Z",365,211.64
211.64,211.64,211.6,53,211.6,"2024-07-01T11:46:00Z",2916,211.610569
211.6,211.6,211.6,20,211.6,"2024-07-01T11:47:00Z",1338,211.6
211.6,211.63,211.6,22,211.63,"2024-07-01T11:48:00Z",1955,211.612478
211.6,211.6,211.6,9,211.6,"2024-07-01T11:50:00Z",317,211.6
211.57,211.57,211.57,39,211.57,"2024-07-01T11:51:00Z",1482,211.57
211.66,211.66,211.65,46,211.65,"2024-07-01T11:53:00Z",1197,211.653092
211.65,211.65,211.65,34,211.65,"2024-07-01T11:58:00Z",583,211.65
211.5546,211.69,211.1545,917,211.32,"2024-07-01T12:00:00Z",48654,211.445495
212,212,211.51,469,211.51,"2024-07-01T12:01:00Z",4376,211.77963
211.86,212.2,211.51,1021,211.84,"2024-07-01T12:02:00Z",13547,211.7567
211.63,212.12,211.63,163,211.84,"2024-07-01T12:03:00Z",2441,211.828277
211.64,211.64,211.64,32,211.64,"2024-07-01T12:04:00Z",400,211.64
211.66,211.66,211.64,31,211.64,"2024-07-01T12:05:00Z",1602,211.65547
211.71,211.71,211.66,63,211.66,"2024-07-01T12:06:00Z",9293,211.705637
210.62,211.71,210.62,72,211.71,"2024-07-01T12:09:00Z",27042,210.652955
211.49,211.6,211.49,90,211.6,"2024-07-01T12:10:00Z",3936,211.543359
