"c","h","l","n","o","t","v","vw"
192.77,193.14,192.45,210,192.45,"2024-06-03T08:00:00Z",3376,192.924133
192.69,192.69,192.69,74,192.69,"2024-06-03T08:01:00Z",1028,192.69
192.7,192.7,192.68,142,192.68,"2024-06-03T08:02:00Z",6174,192.69586
192.74,192.78,192.73,62,192.73,"2024-06-03T08:03:00Z",2982,192.758901
193,193,192.77,162,192.77,"2024-06-03T08:04:00Z",13024,192.836182
193.15,193.3,193.1,110,193.1,"2024-06-03T08:05:00Z",6049,193.264063
193.08,193.2,193.08,27,193.2,"2024-06-03T08:06:00Z",1651,193.14
193.09,193.1,193.09,13,193.1,"2024-06-03T08:07:00Z",558,193.0975
193.1,193.1,193.03,47,193.03,"2024-06-03T08:08:00Z",2964,193.086977
192.9,193.03,192.9,67,193.03,"2024-06-03T08:09:00Z",3623,192.988363
192.91,192.91,192.91,25,192.91,"2024-06-03T08:10:00Z",970,192.91
192.84,192.91,192.84,42,192.9,"2024-06-03T08:11:00Z",3036,192.894131
192.88,192.88,192.87,20,192.87,"2024-06-03T08:12:00Z",6037,192.879426
192.9,192.9,192.83,59,192.83,"2024-06-03T08:13:00Z",1866,192.849002
192.9,192.9,192.9,35,192.9,"2024-06-03T08:15:00Z",1187,192.9
192.85,192.85,192.85,25,192.85,"2024-06-03T08:23:00Z",592,192.85
192.92,192.92,192.92,16,192.92,"2024-06-03T08:25:00Z",591,192.92
192.92,192.92,192.92,14,192.92,"2024-06-03T08:26:00Z",416,192.92
192.85,192.85,192.85,13,192.85,"2024-06-03T08:29:00Z",376,192.85
192.93,192.93,192.93,35,192.93,"2024-06-03T08:33:00Z",954,192.93
193.06,193.06,192.94,88,192.94,"2024-06-03T08:36:00Z",5125,192.994677
193.15,193.15,193.07,27,193.07,"2024-06-03T08:37:00Z",4627,193.119792
193.1,193.1,193.1,14,193.1,"2024-06-03T08:39:00Z",1060,193.1
193.1,193.1,193.1,5,193.1,"2024-06-03T08:40:00Z",120,193.1
193.1,193.1,193.1,48,193.1,"2024-06-03T08:41:00Z",1748,193.1
192.91,192.91,192.91,21,192.91,"2024-06-03T08:42:00Z",698,192.91
192.92,192.92,192.92,16,192.92,"2024-06-03T08:43:00Z",380,192.92
192.92,192.92,192.92,12,192.92,"2024-06-03T08:47:00Z",343,192.92
193.08,193.08,193,24,193,"2024-06-03T08:49:00Z",1780,193.038665
193,193,193,22,193,"2024-06-03T08:50:00Z",1106,193
193.1,193.1,193.1,12,193.1,"2024-06-03T08:51:00Z",614,193.1
193.1,193.1,193.1,13,193.1,"2024-06-03T08:52:00Z",547,193.1
193.12,193.12,193.1,14,193.1,"2024-06-03T08:53:00Z",813,193.110714
193.13,193.13,193.13,21,193.13,"2024-06-03T08:54:00Z",569,193.13
193.12,193.12,193.12,19,193.12,"2024-06-03T08:55:00Z",649,193.12
193.02,193.02,193.02,15,193.02,"2024-06-03T08:56:00Z",303,193.02
193.12,193.12,193.09,47,193.1,"2024-06-03T08:58:00Z",2192,193.108163
193.1,193.1,193.1,12,193.1,"2024-06-03T08:59:00Z",485,193.1
193,193,193,39,193,"2024-06-03T09:01:00Z",1635,193
