"c","h","l","n","o","t","v","vw"
170.2,170.5,170.19,159,170.5,"2024-05-01T08:00:00Z",2372,170.266514
170,170,170,126,170,"2024-05-01T08:01:00Z",1823,170
170,170.02,170,91,170.02,"2024-05-01T08:02:00Z",1293,170.0075
169.9,169.9,169.79,29,169.79,"2024-05-01T08:05:00Z",955,169.856294
169.9,169.9,169.89,55,169.89,"2024-05-01T08:07:00Z",5349,169.899624
170,170,170,19,170,"2024-05-01T08:08:00Z",2430,170
170,170,170,11,170,"2024-05-01T08:09:00Z",283,170
169.85,169.85,169.85,24,169.85,"2024-05-01T08:12:00Z",488,169.85
169.74,169.74,169.74,30,169.74,"2024-05-01T08:19:00Z",742,169.74
169.75,169.75,169.75,11,169.75,"2024-05-01T08:20:00Z",258,169.75
169.8,169.8,169.8,13,169.8,"2024-05-01T08:21:00Z",871,169.8
169.77,169.77,169.77,12,169.77,"2024-05-01T08:23:00Z",194,169.77
169.73,169.77,169.73,14,169.77,"2024-05-01T08:24:00Z",533,169.743333
169.57,169.57,169.57,6,169.57,"2024-05-01T08:28:00Z",113,169.57
169.62,169.69,169.62,9,169.69,"2024-05-01T08:31:00Z",364,169.665779
169.55,169.55,169.55,19,169.55,"2024-05-01T08:34:00Z",424,169.55
169.55,169.55,169.55,6,169.55,"2024-05-01T08:35:00Z",669,169.55
169.51,169.52,169.51,9,169.52,"2024-05-01T08:37:00Z",657,169.512594
169.51,169.53,169.51,12,169.53,"2024-05-01T08:43:00Z",1129,169.51319
169.55,169.55,169.55,20,169.55,"2024-05-01T08:48:00Z",562,169.55
169.71,169.71,169.63,28,169.63,"2024-05-01T08:52:00Z",1649,169.654
169.79,169.79,169.79,14,169.79,"2024-05-01T08:59:00Z",612,169.79
169.73,169.73,169.73,16,169.73,"2024-05-01T09:03:00Z",510,169.73
169.71,169.71,169.69,18,169.69,"2024-05-01T09:04:00Z",648,169.702384
169.68,169.68,169.68,8,169.68,"2024-05-01T09:06:00Z",589,169.68
169.55,169.65,169.55,73,169.65,"2024-05-01T09:08:00Z",1845,169.559425
169.5,169.51,169.5,109,169.51,"2024-05-01T09:09:00Z",2880,169.505703
169.43,169.43,169.43,23,169.43,"2024-05-01T09:11:00Z",602,169.43
169.36,169.36,169.36,35,169.36,"2024-05-01T09:14:00Z",965,169.36
169.34,169.36,169.34,43,169.36,"2024-05-01T09:21:00Z",2910,169.342947
169.49,169.49,169.49,14,169.49,"2024-05-01T09:22:00Z",431,169.49
169.5,169.5,169.5,14,169.5,"2024-05-01T09:23:00Z",302,169.5
169.49,169.49,169.49,11,169.49,"2024-05-01T09:26:00Z",319,169.49
169.5,169.5,169.5,10,169.5,"2024-05-01T09:30:00Z",348,169.5
169.36,169.36,169.36,17,169.36,"2024-05-01T09:44:00Z",425,169.36
169.58,169.58,169.58,15,169.58,"2024-05-01T09:49:00Z",548,169.58
169.6,169.6,169.6,5,169.6,"2024-05-01T09:52:00Z",214,169.6
169.59,169.59,169.59,7,169.59,"2024-05-01T09:56:00Z",149,169.59
169.5,169.5,169.5,19,169.5,"2024-05-01T10:01:00Z",439,169.5
169.6,169.6,169.52,34,169.52,"2024-05-01T10:05:00Z",1127,169.55102
169.75,169.75,169.75,21,169.75,"2024-05-01T10:06:00Z",916,169.75
170.06,170.06,169.8,90,169.8,"2024-05-01T10:08:00Z",6913,169.975725
170.1,170.1,170.1,17,170.1,"2024-05-01T10:09:00Z",1500,170.1
170,170,170,28,170,"2024-05-01T10:13:00Z",1893,170
170,170,170,9,170,"2024-05-01T10:14:00Z",620,170
169.9,169.9,169.9,5,169.9,"2024-05-01T10:21:00Z",163,169.9
169.95,169.95,169.95,11,169.95,"2024-05-01T10:23:00Z",212,169.95
169.9,169.9,169.9,10,169.9,"2024-05-01T10:29:00Z",369,169.9
169.89,169.89,169.89,9,169.89,"2024-05-01T10:31:00Z",306,169.89
169.82,169.83,169.82,33,169.83,"2024-05-01T10:32:00Z",751,169.826667
169.75,169.75,169.75,15,169.75,"2024-05-01T10:33:00Z",777,169.75
169.92,169.92,169.92,7,169.92,"2024-05-01T10:42:00Z",538,169.92
169.93,169.93,169.93,6,169.93,"2024-05-01T10:44:00Z",119,169.93
169.94,169.94,169.94,16,169.94,"2024-05-01T10:46:00Z",225,169.94
170,170,170,9,170,"2024-05-01T10:47:00Z",243,170
